"id_time","id_prof","id_student","nb_abs","abs_duration","nb_lates","nb_pres","duration"
2,1,1,0,55.650000000000006,1,1,NULL
2,1,2,0,1.1500000000000057,0,1,NULL
2,1,3,0,1.2333333333333343,0,1,NULL
2,1,4,0,0,0,1,NULL
2,1,5,0,3.88333333333334,0,1,NULL
2,1,6,0,1.38333333333334,0,1,NULL
2,1,7,0,2.049999999999997,0,1,NULL
2,1,8,0,2.049999999999997,0,1,NULL
2,1,9,0,2.066666666666663,0,1,NULL
2,1,10,0,2.316666666666663,0,1,NULL
2,1,11,0,2.4166666666666714,0,1,NULL
2,1,12,0,2.316666666666663,0,1,NULL
2,1,13,0,3.3499999999999943,0,1,NULL
2,1,14,0,0,0,1,NULL
2,1,15,0,24.016666666666666,0,1,NULL
2,1,16,0,4.599999999999994,0,1,NULL
2,1,17,0,103,0,1,NULL
2,1,18,1,119.6,0,0,NULL
2,1,19,0,5.266666666666666,0,1,NULL
2,1,20,0,5.816666666666663,0,1,NULL
2,1,21,1,117.33333333333333,0,0,NULL
2,1,22,0,6.083333333333329,0,1,NULL
2,1,23,0,11.233333333333334,0,1,NULL
2,1,24,1,117.18333333333334,0,0,NULL
2,1,25,0,6.549999999999997,0,1,NULL
2,1,26,0,5.416666666666671,0,1,NULL
2,1,27,0,8.716666666666669,0,1,NULL
2,1,28,0,7.816666666666663,0,1,NULL
2,1,29,0,8.683333333333337,0,1,NULL
2,1,30,0,9.099999999999994,0,1,NULL
2,1,31,0,9.216666666666669,0,1,NULL
2,1,32,0,13.933333333333337,0,1,NULL
2,1,33,0,25.349999999999994,0,1,NULL
2,1,34,0,48.78333333333333,0,1,NULL
2,1,35,0,13.766666666666666,0,1,NULL
2,1,36,0,12.833333333333329,0,1,NULL
2,1,37,0,14.566666666666663,0,1,NULL
2,1,38,0,23.433333333333337,0,1,NULL
2,1,39,0,42.016666666666666,0,1,NULL
2,1,40,0,67.9,0,1,NULL
2,1,41,1,116.83333333333333,0,0,NULL
2,1,42,0,18.61666666666666,1,1,NULL
2,1,43,1,119.13333333333334,0,0,NULL
2,1,44,0,29.383333333333326,1,1,NULL
2,1,45,0,29.849999999999994,1,1,NULL
2,1,46,1,116.61666666666666,0,0,NULL
2,1,47,0,13.716666666666669,1,1,NULL
2,1,48,0,69.85,1,1,NULL
2,1,49,0,74.26666666666667,1,1,NULL
2,1,50,0,74.55,1,1,NULL
2,1,51,1,119.8,0,0,NULL
2,1,52,1,120,0,0,NULL
2,1,53,1,120,0,0,NULL
2,1,54,1,120,0,0,NULL
2,1,55,1,120,0,0,NULL
2,1,56,1,120,0,0,NULL
2,1,57,1,120,0,0,NULL
2,1,58,1,120,0,0,NULL
2,1,59,1,120,0,0,NULL
2,1,60,1,120,0,0,NULL
2,1,61,1,120,0,0,NULL
2,1,62,1,120,0,0,NULL
2,1,63,1,120,0,0,NULL
2,1,64,1,120,0,0,NULL
2,1,65,1,120,0,0,NULL
2,1,66,1,120,0,0,NULL
2,1,67,1,120,0,0,NULL
2,1,68,1,120,0,0,NULL
2,1,69,1,120,0,0,NULL
2,1,70,1,120,0,0,NULL
2,1,71,1,120,0,0,NULL
2,1,72,1,120,0,0,NULL
2,1,73,1,120,0,0,NULL
2,1,74,1,120,0,0,NULL
2,1,75,1,120,0,0,NULL
2,1,76,1,120,0,0,NULL
2,1,77,1,120,0,0,NULL
2,1,78,1,120,0,0,NULL
2,1,79,1,120,0,0,NULL
2,1,80,1,120,0,0,NULL
3,1,1,0,15.75,1,1,NULL
3,1,2,0,52.8,1,1,NULL
3,1,3,0,0,0,1,NULL
3,1,4,0,0,0,1,NULL
3,1,5,0,23.516666666666666,0,1,NULL
3,1,6,0,25.516666666666666,0,1,NULL
3,1,7,0,25.933333333333337,0,1,NULL
3,1,8,0,26.88333333333334,0,1,NULL
3,1,9,1,120,0,0,NULL
3,1,10,0,57.233333333333334,0,1,NULL
3,1,11,0,22.549999999999997,0,1,NULL
3,1,12,0,25.66666666666667,0,1,NULL
3,1,13,0,61.199999999999996,1,1,NULL
3,1,14,0,44.516666666666666,1,1,NULL
3,1,15,0,31.549999999999997,0,1,NULL
3,1,16,0,0,0,1,NULL
3,1,17,1,107.2,0,0,NULL
3,1,18,0,36.900000000000006,0,1,NULL
3,1,19,0,33.31666666666666,0,1,NULL
3,1,20,0,0,0,1,NULL
3,1,21,1,119.33333333333333,0,0,NULL
3,1,22,0,26.700000000000003,0,1,NULL
3,1,23,0,29.83333333333333,0,1,NULL
3,1,24,0,34.36666666666666,0,1,NULL
3,1,25,0,29.66666666666667,0,1,NULL
3,1,26,1,114.35,0,0,NULL
3,1,27,0,24.900000000000006,0,1,NULL
3,1,28,1,120,0,0,NULL
3,1,29,0,36.14999999999999,0,1,NULL
3,1,30,0,32.650000000000006,0,1,NULL
3,1,31,0,21.650000000000006,0,1,NULL
3,1,32,1,120,0,0,NULL
3,1,33,1,119.01666666666667,0,0,NULL
3,1,34,1,120,0,0,NULL
3,1,35,0,32.650000000000006,0,1,NULL
3,1,36,1,120,0,0,NULL
3,1,37,0,28.316666666666663,0,1,NULL
3,1,38,0,46.45,0,1,NULL
3,1,39,1,104.88333333333334,0,0,NULL
3,1,40,0,41.93333333333334,0,1,NULL
3,1,41,1,120,0,0,NULL
3,1,42,0,31.41666666666667,0,1,NULL
3,1,43,1,120,0,0,NULL
3,1,44,0,87.25,1,1,NULL
3,1,45,0,91.35,1,1,NULL
3,1,46,1,120,0,0,NULL
3,1,47,0,0,1,1,NULL
